county,locationid,year,dogkill,population,unemployed,medincome,perpoverty,poverty,vtdummy,statedum,state,nvdummy,ctdummy,medummy,ordercount,expenditures,count,county_vcrime,state_vcrime_report,state_vcrime_est,countyid,_merge,black,na,hisp,countlag,explag,minority,kill,stateid,nhdummy,drugest,lb,ub,t,t2,t3,killlag,logexpenditures,logmedincome,logpopulation,logblack,logcounty_vcrime,logminority,logexplag,dogkilllag,changecount,changecountdog,meancount,meancountdog
Tolland,907,2008,0,121645,3951,75850,,4622,0,1,Connecticut,0,1,0,5,690,0,,,,,1,3883,259,6155,0,2548,,0,1,0,8.6899995803833,7.23000001907349,10.4099998474121,3,9,27,0,6.53813982009888,11.2365131378174,11.7088623046875,8.26462078094482,,,7.84345626831055,0,0,0,0,0
Tolland,907,2009,0,122764,3921,76837,,8839,0,1,Connecticut,0,1,0,0,0,0,,,,,1,3883,259,6155,0,690,,0,1,0,9.42000007629395,7.8600001335144,11.2399997711182,4,16,64,0,0,11.2494411468506,11.7180194854736,8.26462078094482,,,6.53813982009888,0,0,0,0,0
Tolland,907,2010,0,125211,5277,78682,,8013,0,1,Connecticut,0,1,0,0,0,0,,,,,1,3883,259,6155,0,0,,0,1,0,8.97000026702881,7.46000003814697,10.7399997711182,5,25,125,0,0,11.2731695175171,11.7377557754517,8.26462078094482,,,0,0,0,0,0,0
Tolland,907,2011,0,126051,7363,78210,,10966,0,1,Connecticut,0,1,0,0,0,0,,,,,1,3883,259,6155,0,0,,0,1,0,9.5,7.94999980926514,11.3299999237061,6,36,216,0,0,11.2671527862549,11.744441986084,8.26462078094482,,,0,0,0,0,0,0
Tolland,907,2012,0,126711,5642,75238,,8869,0,1,Connecticut,0,1,0,11,29990,0,,,,,1,3883,259,6155,0,0,,0,1,0,9.93000030517578,,,7,49,343,0,10.3086528778076,11.2284116744995,11.7496643066406,8.26462078094482,,,0,0,0,0,0,0
Tolland,907,2013,0,126383,6413,72954,,6698,0,1,Connecticut,0,1,0,0,0,0,,,,,1,3883,259,6155,0,29990,,0,1,0,9.94999980926514,,,8,64,512,0,0,11.1975841522217,11.7470722198486,8.26462078094482,,,10.3086528778076,0,0,0,0,0
Windham,908,2006,0,94829,5834,55013,,8819,0,1,Connecticut,0,1,0,0,0,0,,,,,1,1947,216,10611,0,0,,0,1,0,,,,1,1,1,0,0,10.9153251647949,11.4598302841187,7.57455825805664,,,,,,,0.125,0
Windham,908,2007,0,93377,5051,55786,,5602,0,1,Connecticut,0,1,0,17,4678.97021484375,0,,,,,1,1947,216,10611,0,0,,0,1,0,,,,2,4,8,0,8.45104694366455,10.9292783737183,11.4444007873535,7.57455825805664,,,0,0,0,0,0.125,0
Windham,908,2008,0,93977,5951,58169,,9773,0,1,Connecticut,0,1,0,0,0,0,,,,,1,1947,216,10611,0,4678.97021484375,,0,1,0,8.6899995803833,7.23000001907349,10.4099998474121,3,9,27,0,0,10.9711074829102,11.4508056640625,7.57455825805664,,,8.45104694366455,0,0,0,0.125,0
Windham,908,2009,0,94321,6069,57545,,10469,0,1,Connecticut,0,1,0,0,0,0,,,,,1,1947,216,10611,0,0,,0,1,0,9.42000007629395,7.8600001335144,11.2399997711182,4,16,64,0,0,10.9603223800659,11.4544591903687,7.57455825805664,,,0,0,0,0,0.125,0
Windham,908,2010,0,94819,7121,57424,,11567,0,1,Connecticut,0,1,0,0,0,0,,,,,1,1947,216,10611,0,0,,0,1,0,8.97000026702881,7.46000003814697,10.7399997711182,5,25,125,0,0,10.9582176208496,11.4597253799438,7.57455825805664,,,0,0,0,0,0.125,0
Windham,908,2011,0,95605,8265,55744,,9369,0,1,Connecticut,0,1,0,0,0,0,,,,,1,1947,216,10611,0,0,,0,1,0,9.5,7.94999980926514,11.3299999237061,6,36,216,0,0,10.9285249710083,11.4679803848267,7.57455825805664,,,0,0,0,0,0.125,0
Windham,908,2012,0,95739,5681,54089,,11967,0,1,Connecticut,0,1,0,4,282.160003662109,0,,,,,1,1947,216,10611,0,0,,0,1,0,9.93000030517578,,,7,49,343,0,5.64601230621338,10.8983860015869,11.4693813323975,7.57455825805664,,,0,0,0,0,0.125,0
Windham,908,2013,0,95733,8488,57503,,13306,0,1,Connecticut,0,1,0,22,668479,1,,,,,1,1947,216,10611,0,282.160003662109,,1,1,0,9.94999980926514,,,8,64,512,0,13.4127616882324,10.9595928192139,11.4693183898926,7.57455825805664,,,5.64601230621338,0,1,0,0.125,0
Androscoggin,2301,2006,0,86289,3619,37945,0.17399999499321,15014.2861328125,0,2,Maine,0,0,1,3,1497,0,10,191,1526,1,3,1715,122,1678,0,0,3515,0,2,0,,,,1,1,1,0,7.31188631057739,10.5438928604126,11.36545753479,7.44775104522705,2.39789533615112,8.164794921875,,,,,0.125,0
Androscoggin,2301,2007,0,85504,4173,42725,0.162000000476837,13851.6484375,0,2,Maine,0,0,1,0,0,1,7,192,1554,1,3,1715,122,1678,0,1497,3515,1,2,0,,,,2,4,8,0,0,10.6625394821167,11.3563184738159,7.44775104522705,2.0794415473938,8.164794921875,7.31188631057739,0,1,0,0.125,0
Androscoggin,2301,2008,0,85478,3572,44545,0.243000000715256,20771.154296875,0,2,Maine,0,0,1,0,0,0,6,193,1547,1,3,1715,122,1678,1,0,3515,0,2,0,11.1599998474121,9.39000034332275,13.2200002670288,3,9,27,1,0,10.7042551040649,11.356014251709,7.44775104522705,1.94591009616852,8.164794921875,0,0,-1,0,0.125,0
Androscoggin,2301,2009,0,86043,4186,43881,0.146999999880791,12648.3212890625,0,2,Maine,0,0,1,0,0,0,12,219,1579,1,3,1715,122,1678,0,0,3515,0,2,0,11.8800001144409,10.039999961853,14,4,16,64,0,0,10.6892366409302,11.3626022338867,7.44775104522705,2.56494927406311,8.164794921875,0,0,0,0,0.125,0
Androscoggin,2301,2010,0,86708,4489,42494,0.140000000596046,12139.1201171875,0,2,Maine,0,0,1,5,690,0,10,203,1621,1,3,1715,122,1678,0,0,3515,0,2,0,9.52000045776367,7.98000001907349,11.3199996948242,5,25,125,0,6.53813982009888,10.6571178436279,11.3703012466431,7.44775104522705,2.39789533615112,8.164794921875,0,0,0,0,0.125,0
Androscoggin,2301,2011,0,86594,5782,43144,0.155000001192093,13422.0703125,0,2,Maine,0,0,1,4,480,0,,,,,1,1715,122,1678,0,690,3515,0,2,0,9.86999988555908,8.22000026702881,11.8000001907349,6,36,216,0,6.17586708068848,10.6722984313965,11.3689861297607,7.44775104522705,,8.164794921875,6.53813982009888,0,0,0,0.125,0
Androscoggin,2301,2012,0,86269,5666,44518,0.157000005245209,13544.2333984375,0,2,Maine,0,0,1,2,48488,0,,,,,1,1715,122,1678,0,480,3515,0,2,0,11.3400001525879,,,7,49,343,0,10.7890920639038,10.7036485671997,11.3652257919312,7.44775104522705,,8.164794921875,6.17586708068848,0,0,0,0.125,0
Androscoggin,2301,2013,0,86099,5230,45234,0.164000004529953,14120.236328125,0,2,Maine,0,0,1,4,500507,0,,,,,1,1715,122,1678,0,48488,3515,0,2,0,13.7399997711182,,,8,64,512,0,13.1233787536621,10.7196044921875,11.3632526397705,7.44775104522705,,8.164794921875,10.7890920639038,0,0,0,0.125,0
Aroostook,2302,2006,0,60265,1689,32642,0.172999992966652,10425.8447265625,0,2,Maine,0,0,1,20,6968.08984375,0,7,191,1526,2,3,400,915,761,0,0,2076,0,2,0,,,,1,1,1,0,8.84924030303955,10.3933553695679,11.0065069198608,5.99396133422852,2.0794415473938,7.6381983757019,,,,,0.125,0
Aroostook,2302,2007,0,59772,1918,34225,0.170000001788139,10161.240234375,0,2,Maine,0,0,1,0,0,0,8,192,1554,2,3,400,915,761,0,6968.08984375,2076,0,2,0,,,,2,4,8,0,0,10.4407119750977,10.9982929229736,5.99396133422852,2.19722461700439,7.6381983757019,8.84924030303955,0,0,0,0.125,0
Aroostook,2302,2008,0,59597,1996,35999,0.164000004529953,9773.908203125,0,2,Maine,0,0,1,37,6610.6201171875,0,2,193,1547,2,3,400,915,761,0,0,2076,0,2,0,11.1599998474121,9.39000034332275,13.2200002670288,3,9,27,0,8.7965841293335,10.4912462234497,10.9953603744507,5.99396133422852,1.0986123085022,7.6381983757019,0,0,0,0,0.125,0
Aroostook,2302,2009,0,59200,2146,35654,0.209999993443489,12432,0,2,Maine,0,0,1,56,87494.25,0,0,219,1579,2,3,400,915,761,0,6610.6201171875,2076,0,2,0,11.8800001144409,10.039999961853,14,4,16,64,0,11.379340171814,10.481616973877,10.9886770248413,5.99396133422852,0,7.6381983757019,8.7965841293335,0,0,0,0.125,0
Aroostook,2302,2010,0,59472,2363,36185,0.146999999880791,8742.3837890625,0,2,Maine,0,0,1,82,191425,1,3,203,1621,2,3,400,915,761,0,87494.25,2076,1,2,0,9.52000045776367,7.98000001907349,11.3199996948242,5,25,125,0,12.1622562408447,10.4963998794556,10.9932613372803,5.99396133422852,1.3862943649292,7.6381983757019,11.379340171814,0,1,0,0.125,0
Aroostook,2302,2011,0,59249,2459,36512,0.156000003218651,9242.84375,0,2,Maine,0,0,1,48,4274.25,0,,,,,1,400,915,761,1,191425,2076,0,2,0,9.86999988555908,8.22000026702881,11.8000001907349,6,36,216,1,8.36059761047363,10.5053958892822,10.9895038604736,5.99396133422852,,7.6381983757019,12.1622562408447,0,-1,0,0.125,0
Aroostook,2302,2012,0,59077,2737,37195,0.159999996423721,9452.3203125,0,2,Maine,0,0,1,2361,2539766.5,0,,,,,1,400,915,761,0,4274.25,2076,0,2,0,11.3400001525879,,,7,49,343,0,14.7475833892822,10.5239295959473,10.9865970611572,5.99396133422852,,7.6381983757019,8.36059761047363,0,0,0,0.125,0
Aroostook,2302,2013,0,58973,2854,37292,0.172999992966652,10202.3291015625,0,2,Maine,0,0,1,6979,4316430,0,,,,,1,400,915,761,0,2539766.5,2076,0,2,0,13.7399997711182,,,8,64,512,0,15.2779397964478,10.5265340805054,10.9848346710205,5.99396133422852,,7.6381983757019,14.7475833892822,0,0,0,0.125,0
Cumberland,2303,2006,0,223138,6851,51520,0.100000001490116,22313.80078125,0,2,Maine,0,0,1,97,30607,2,26,191,1526,7,3,6670,587,4899,1,0,12156,1,2,0,,,,1,1,1,1,10.3290166854858,10.8497257232666,12.3155460357666,8.80552482604981,3.29583692550659,9.40557861328125,,,,,0.75,0
